iter	Passed	Remaining
768	3368	1011
769	3372	1007
770	3375	1002
771	3381	998
772	3384	994
773	3389	989
774	3405	988
775	3409	984
776	3413	979
777	3417	975
778	3421	970
779	3425	966
780	3430	961
781	3435	957
782	3439	953
783	3443	948
784	3447	944
785	3451	939
786	3455	935
787	3459	930
788	3463	926
789	3468	922
790	3472	917
791	3476	913
792	3480	908
793	3484	904
794	3489	899
795	3492	895
796	3497	890
797	3501	886
798	3506	882
799	3511	877
800	3514	873
801	3519	868
802	3523	864
803	3527	859
804	3531	855
805	3535	851
806	3539	846
807	3543	842
808	3547	837
809	3552	833
810	3557	828
811	3560	824
812	3564	819
813	3568	815
814	3572	810
815	3576	806
816	3580	802
817	3584	797
818	3589	793
819	3594	789
820	3598	784
821	3603	780
822	3607	775
823	3610	771
824	3614	766
825	3618	762
826	3622	757
827	3626	753
828	3630	748
829	3634	744
830	3638	739
831	3642	735
832	3646	731
833	3651	726
834	3654	722
835	3658	717
836	3663	713
837	3667	709
838	3671	704
839	3675	700
840	3679	695
841	3684	691
842	3688	686
843	3693	682
844	3697	678
845	3701	673
846	3705	669
847	3709	664
848	3714	660
849	3718	656
850	3722	651
851	3726	647
852	3730	642
853	3735	638
854	3739	634
855	3743	629
856	3748	625
857	3752	621
858	3756	616
859	3762	612
860	3766	608
861	3771	603
862	3776	599
863	3782	595
864	3786	590
865	3791	586
866	3794	582
867	3798	577
868	3802	573
869	3806	568
870	3810	564
871	3816	560
872	3821	555
873	3826	551
874	3830	547
875	3834	542
876	3838	538
877	3842	533
878	3846	529
879	3850	525
880	3854	520
881	3860	516
882	3864	512
883	3869	507
884	3875	503
885	3879	499
886	3883	494
887	3887	490
888	3892	485
889	3896	481
890	3900	477
891	3905	472
892	3908	468
893	3912	463
894	3917	459
895	3920	455
896	3925	450
897	3928	446
898	3933	441
899	3938	437
900	3941	433
901	3945	428
902	3949	424
903	3954	419
904	3957	415
905	3962	411
906	3967	406
907	3971	402
908	3975	397
909	3979	393
910	3983	389
911	3987	384
912	3991	380
913	3996	375
914	4001	371
915	4005	367
916	4009	362
917	4014	358
918	4017	354
919	4021	349
920	4025	345
921	4029	340
922	4034	336
923	4038	332
924	4042	327
925	4046	323
926	4050	318
927	4054	314
928	4059	310
929	4063	305
930	4067	301
931	4071	297
932	4075	292
933	4079	288
934	4084	283
935	4089	279
936	4092	275
937	4096	270
938	4101	266
939	4106	262
940	4110	257
941	4114	253
942	4118	248
943	4123	244
944	4129	240
945	4133	235
946	4137	231
947	4141	227
948	4144	222
949	4150	218
950	4153	214
951	4158	209
952	4162	205
953	4167	200
954	4171	196
955	4176	192
956	4179	187
957	4183	183
958	4187	179
959	4192	174
960	4196	170
961	4199	165
962	4204	161
963	4208	157
964	4212	152
965	4217	148
966	4220	144
967	4224	139
968	4229	135
969	4233	130
970	4238	126
971	4242	122
972	4245	117
973	4250	113
974	4254	109
975	4259	104
976	4263	100
977	4267	96
978	4271	91
979	4276	87
980	4280	82
981	4284	78
982	4288	74
983	4292	69
984	4297	65
985	4301	61
986	4306	56
987	4310	52
988	4314	47
989	4318	43
990	4322	39
991	4327	34
992	4330	30
993	4335	26
994	4338	21
995	4343	17
996	4348	13
997	4352	8
998	4357	4
999	4361	0
